claimer name;claim;Hoax Class;Article Title;Date;Object;Subject;Tema Artikel
Claim by Beberapa sumber:;Foto Jokowi memegang lukisan berwajah Anies Baswedan;Salah;Ini gambar editan -- foto asli tunjukkan Jokowi memegang lukisan dirinya;5 days ago;Joko Widodo;Anies Baswedan;Seni lukis
Claim by jokowpnctbv:;Pengikut akun TikTok Jokowi akan mendapat bantuan tunai;Benar;Akun TikTok palsu Jokowi menipu netizen soal pemberian bansos;Aug 29, 2023;Joko Widodo;TikTok;Periksa Fakta
Claim by Berbagai sumber:;Masyarakat Australia turun ke jalan untuk dukung Presiden Jokowi;Benar;Ini video demo anti-vaksin dan anti-monarki, bukan 'demo warga Australia dukung Jokowi;Jul 22, 2023;Joko Widodo;Australia;Periksa Fakta
Claim by Berbagai sumber:;Presiden Jokowi tunjuk Agus Harimurti Yudhoyono sebagai menpora;Keliru;View article;Mar 23, 2023;Agus Harimurti Yudhoyono;Joko Widodo;Presiden Indonesia
Claim by Berbagai sumber:;Sekjen PBB Guterres tunjuk Presiden Jokowi sebagai penggantinya;Keliru;View article;Feb 7, 2023;António Guterres;Sekretaris Jenderal Perserikatan Bangsa-Bangsa;Perserikatan Bangsa-Bangsa
Claim by Berbagai sumber:;Presiden Jokowi nyatakan perang dengan Malaysia;Keliru;View article;Aug 1, 2022;Joko Widodo;Perang;Malaysia
Claim by Beberapa sumber:;"Presiden Jokowi dipilih PBB untuk memimpin ""satgas penanganan krisis global""";Keliru;View article;Aug 1, 2022;Joko Widodo;Perserikatan Bangsa-Bangsa;Krisis
Claim by Berbagai sumber:;Uang baru pecahan Rp 100 bergambar Presiden Joko Widodo;Keliru;View article;Jul 14, 2022;Joko Widodo;Uang;Presiden Indonesia
Claim by Beberapa sumber:;Video pengawalan Presiden Jokowi di Prancis;Keliru;View article;Nov 11, 2021;Joko Widodo;Presiden Indonesia;Video
Claim by Berbagai sumber:;Foto Presiden Jokowi menyelamati Anies Baswedan atas penerimaan gelar 'pahlawan internasional';Keliru;View article;Oct 19, 2021;Anies Baswedan;Pahlawan;Joko Widodo
Claim by Akun Facebook:;"Gambar tangkapan layar artikel yang berjudul ""Arief Poyuono: Prabowo Mau Jokowi Tiga Periode, Sebab Prabowo Sudah Melihat Dan Merasakan Kerjanya Yang OK""";Keliru;Keliru, Screenshot Artikel yang Kutip Arief Poyuono bahwa Prabowo Mau Jokowi Tiga Periode Karena Kerjanya Oke;Mar 16, 2021;Prabowo Subianto;Arief Poyuono;Joko Widodo
Claim by Akun Facebook:;Video yang berisi klaim bahwa Presiden Jokowi mencopot Menkopolhukam Mahfud MD;Keliru;Keliru, Video yang Sebut Presiden Jokowi Copot Menkopolhukam Mahfud MD;Nov 25, 2020;Mahfud MD;Joko Widodo;Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Indonesia
Claim by Beredar di media sosial:;Joko Widodo batal menggaji pengangguran lewat Kartu Prakerja;Keliru;[Fakta atau Hoaks] Benarkah Jokowi Batal Memberikan Tunjangan untuk Pengangguran?;Jul 19, 2019;Joko Widodo;Pengangguran;Kartu Prakerja
Claim by Beredar di Facebook:;Ada 10 warga yang dilarikan ke rumah sakit karena seluruh tubuhnya gatal-gatal setelah meminum air bekas cucian kaki Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Setelah Minum Air Cucian Kaki Jokowi;Nov 19, 2019;Joko Widodo;Presiden Indonesia;Air
Claim by Akun-akun Facebook:;"Presiden Turki Erdogan mengatakan, ""Jika Jokowi tidak terjun ke politik, maka penjahatlah yang akan mengisinya.""";Keliru;[Fakta atau Hoaks] Benarkah Erdogan Sebut Jika Jokowi Tak Terjun ke Politik Maka Penjahatlah yang Akan Mengisinya?;Jul 10, 2020;Recep Tayyip Erdoğan;Joko Widodo;Politik
Claim by Akun-akun Facebook:;Video dan foto yang diklaim sebagai video dan foto konser amal yang dihadiri Presiden Jokowi di tengah pandemi Covid-19;Keliru;[Fakta atau Hoaks] Benarkah Ini Video dan Foto Konser yang Dihadiri Presiden Jokowi Saat Pandemi Covid-19?;May 20, 2020;Joko Widodo;Konser;COVID-19
Claim by Situs Reportase Indonesia:;Presiden Jokowi akan menjual separuh dari Kaltim untuk pemindahan ibu kota;Keliru;[Fakta atau Hoaks] Benarkah Presiden Jokowi Akan Jual Separuh Kaltim untuk Pemindahan Ibu Kota?;Mar 13, 2020;Joko Widodo;Ibu kota Indonesia;Kalimantan Timur
Claim by Beredar di WhatsApp dan media sosial.:;Joko Widodo-Ma'ruf Amin tidak bisa memenangi Pilpres 2019 berdasarkan UUD 1945 Pasal 6 ayat (3) karena tidak memenangkan suara di setengah jumlah provinsi atau 17 provinsi, dan di 17 provinsi yang kalah harus mendapatkan minimal 20 persen suara.;Keliru;[Fakta atau Hoaks] Benarkah Syarat Menjadi Presiden Harus Memenangkan Suara di 17 Provinsi?;Apr 26, 2019;Pemilihan presiden;Pemilihan umum Presiden Indonesia 2019;Joko Widodo
Claim by Akun-akun Facebook:;Anggota DPR dari Fraksi PDI Perjuangan, Ribka Tjiptaning, menyebut bahwa ibu Presiden Jokowi adalah Ketua Umum Gerwani PKI;Keliru;[Fakta atau Hoaks] Benarkah Ribka Tjiptaning Sebut Ibu Jokowi Ketua Gerwani PKI?;Jun 15, 2020;Ribka Tjiptaning;Gerakan Wanita Indonesia;Joko Widodo
Claim by Akun Facebook:;Video yang berisi klaim bahwa Presiden Jokowi mencopot Menkopolhukam Mahfud MD;Keliru;Keliru, Video yang Sebut Presiden Jokowi Copot Menkopolhukam Mahfud MD;Nov 25, 2020;Mahfud MD;Joko Widodo;Menteri Koordinator Bidang Politik, Hukum, dan Keamanan Indonesia
Claim by Beberapa sumber:;"Presiden Indonesia Joko ""Jokowi"" Widodo meneteskan air mata saat meninjau kebakaran hutan di Riau";Keliru;Foto Presiden Indonesia Joko Widodo telah disunting dengan menambahkan tetesan air mata di wajahnya;Oct 2, 2019;Joko Widodo;Presiden Indonesia;Air
Claim by Akun-akun Facebook:;Video dan foto yang diklaim sebagai video dan foto konser amal yang dihadiri Presiden Jokowi di tengah pandemi Covid-19;Keliru;[Fakta atau Hoaks] Benarkah Ini Video dan Foto Konser yang Dihadiri Presiden Jokowi Saat Pandemi Covid-19?;May 20, 2020;Joko Widodo;Konser;COVID-19
Claim by Beredar di Facebook:;Ada 10 warga yang dilarikan ke rumah sakit karena seluruh tubuhnya gatal-gatal setelah meminum air bekas cucian kaki Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Setelah Minum Air Cucian Kaki Jokowi Ada 10 Warga yang Dilarikan ke RS?;Nov 19, 2019;Joko Widodo;Presiden Indonesia;Air
Claim by Akun Facebook:;Foto yang diklaim sebagai foto saat KPU dan Bawaslu berkunjung ke kantor PDIP untuk memenangkan Jokowi dalam Pilpres 2019;Keliru;[Fakta atau Hoaks] Benarkah Komisioner KPU dan Bawaslu Kumpul di PDIP untuk Menangkan Jokowi dalam Pilpres 2019?;Jul 16, 2020;Komisi Pemilihan Umum Republik Indonesia;Badan Pengawas Pemilihan Umum Republik Indonesia;KPU
Claim by Beredar di YouTube dan Facebook:;"Pidato Sultan Brunei Darussalam soal ""pemimpin mabuk kuasa"" yang diklaim ditujukan kepada Presiden Jokowi";Keliru;[Fakta atau Hoaks] Benarkah Sultan Brunei Sindir Presiden Jokowi Pemimpin Mabuk Kuasa?;Dec 30, 2019;Brunei Darussalam;Sultan;Joko Widodo
Claim by Akun-akun Facebook:;Anggota DPR dari Fraksi PDI Perjuangan, Ribka Tjiptaning, menyebut bahwa ibu Presiden Jokowi adalah Ketua Umum Gerwani PKI;Keliru;[Fakta atau Hoaks] Benarkah Ribka Tjiptaning Sebut Ibu Jokowi Ketua Gerwani PKI?;Jun 15, 2020;Ribka Tjiptaning;Gerakan Wanita Indonesia;Joko Widodo
Claim by Anonim:;Benarkah Tempo Merilis Jumlah Bencana Tertinggi di Masa Jokowi?;Keliru;[Fakta atau Hoax] Benarkah Tempo Merilis Jumlah Bencana Tertinggi di Masa Jokowi?;Dec 26, 2018;Bencana;Joko Widodo;Tempo
Claim by Beredar di media sosial:;Polisi membebaskan remaja Tionghoa yang ancam bunuh Jokowi, namun penjarakan pemuda Muslim yang mengancam penggal Jokowi.;Keliru;[Fakta atau Hoaks] Benarkah Polisi Bebaskan Remaja Tionghoa yang Ancam Tembak Jokowi Karena Etnisnya?;May 14, 2019;Joko Widodo;Polisi;Orang Tionghoa Indonesia
Claim by Akun-akun Facebook:;"Presiden Turki Erdogan mengatakan, ""Jika Jokowi tidak terjun ke politik, maka penjahatlah yang akan mengisinya.""";Keliru;[Fakta atau Hoaks] Benarkah Erdogan Sebut Jika Jokowi Tak Terjun ke Politik Maka Penjahatlah yang Akan Mengisinya?;Jul 10, 2020;Recep Tayyip Erdoğan;Joko Widodo;Politik
Claim by Akun-akun Facebook dan kanal-kanal YouTube:;Video yang diklaim sebagai video demo mahasiswa yang tuntut Presiden Jokowi mundur dari jabatannya saat pandemi Covid-19;Keliru;[Fakta atau Hoaks] Benarkah Ini Video Demo Mahasiswa yang Tuntut Jokowi Mundur Saat Pandemi Covid-19?;Jun 5, 2020;Joko Widodo;Mahasiswa;COVID-19
